id,name,category,description,rarity,price,pros,cons,img_url
1,加倍行動力濃縮液,能力,喝下後可連續清醒72小時，副作用是會對椅子產生感情。,Rare,3天的睡眠,效率激增,理智下滑，開始和辦公椅聊天。,https://drive.google.com/file/d/1FXFJivallJdYFqE048RmZcXlJRkcqtGB/view?usp=sharing
2,社交能量膠囊,性格,吞下1顆即可在派對上變成焦點，效果持續3小時。,Epic,5滴自信心,魅力上升200%,結束後陷入尷尬後遺症。,https://drive.google.com/file/d/1C8fGhxlBz3CS8HiTuQeLAeLJaGh-DNFh/view?usp=sharing
3,懶惰原礦,性格,神提煉出的最純惰性物質，持有者會自動進入『明天再說』模式。,Common,2杯冰拿鐵,能完美躺平,無法完成任何待辦。,https://drive.google.com/file/d/1wRcoZpnmyC3ods3HO9mXOCShTX-cEjW7/view?usp=drive_link
4,咖啡因血清,習慣,直接注入血液的咖啡，神的速效打氣針。,Rare,3顆焦慮粒子,靈感爆棚,心跳比貓還快。,https://drive.google.com/file/d/1csZcwDiC3Q68qqvgf11GvF3G3XaZKS2j/view?usp=drive_link
5,無限尷尬迴圈,詛咒,讓你在洗澡時回想起10年前說錯的話。,Uncommon,10滴悔恨,情緒細膩,社交創傷無限播放。,https://drive.google.com/file/d/1rSoJropYHeWFlV1cj1Uw6T_6HaIDSMnU/view?usp=drive_link
6,中二靈魂碎片,特殊體質,注入後會不自覺地大喊『黑炎龍啊！覺醒吧！』,Epic,1根髮膠,氣勢壓人,社會性死亡指數+100。,https://drive.google.com/file/d/1lEs3CxHKHVtoXJMciUKIlwn3EY2J_25L/view?usp=drive_link
7,吃不胖體質模組,能力,任何高熱量食物都會被自動轉為自信心。,Legendary,你的3餐份額,外型完美,永遠吃不飽。,https://drive.google.com/file/d/1kQ2vSAM7MGHdliQHAIqnq2kkwWf1ag5U/view?usp=drive_link
8,快樂限定貼紙,喜好,貼在額頭上即可在5分鐘內忘掉所有煩惱。,Common,1聲誇獎,立即開心,5分鐘後雙倍焦慮。,https://drive.google.com/file/d/1eeRH9Dg0h6i-rPNlU99Jb00Xib4q8J9N/view?usp=drive_link
9,宇宙WiFi,能力,可與宇宙意識連線，隨機接收外星八卦。,Rare,7顆行星信號,資訊無限,無法斷線導致失眠。,https://drive.google.com/file/d/1DYj5OlWTN19OLbATRbQuQKG-kzgGjBAl/view?usp=drive_link
10,打不死的堅毅之魂,性格,被打倒後自動播放勵志BGM並重新站起。,Legendary,999毫升毅力,永不放棄,連睡覺都在反擊。,https://drive.google.com/file/d/1hPWALHFsJwBPeRrFiRVxNCpv9PhNNBhs/view?usp=drive_link
11,貓語理解晶片,能力,可理解貓咪的真實心聲（大部分是批評）。,Rare,3根貓毛,與貓深度連結,心理創傷增加。,https://drive.google.com/file/d/111JMiLrGUmy4G8rPeJXIwDBsut1X8PIY/view?usp=drive_link
12,神秘壓力轉換器,能力,能將壓力轉化為創造力，但會爆肝。,Epic,5天壽命,作品爆紅,身體先報廢。,https://drive.google.com/file/d/16EO-CRzhYNrhR1EqRieo2ZEDDn9zyAX1/view?usp=drive_link
13,時間暫停泡泡糖,能力,吹出泡泡即可暫停時間10秒。,Mythic,5分鐘壽命,時間操控力,咬太久會卡在時空裡。,https://drive.google.com/file/d/16Tmk4L_Q1AWMy7bFT2XwNqmlq5uxPCUA/view?usp=drive_link
14,社交電量充電包,習慣,插上就能暫時恢復社交值，適合聚會前緊急使用。,Uncommon,2杯珍奶,暫時變健談,電力耗盡後會想消失48小時。,https://drive.google.com/file/d/1E-OBIl9gyeo81P3rkK09SpG7gyEEZILc/view?usp=drive_link
15,天選遲到者之鐘,詛咒,永遠準時抵達錯的地點。,Uncommon,10分鐘睡眠,永不遲到,時間觀念混亂。,https://drive.google.com/file/d/1DATTiqKktWW4VxDaGpXRgAVhYhPd0DHY/view?usp=drive_link
16,尷尬防護罩,能力,自動在你說錯話時播放背景笑聲。,Rare,1份尊嚴,緩解場面,笑聲太假。,https://drive.google.com/file/d/1D2yHOi-ccX9Jy7i7O4AqxSXjXYrz1l6P/view?usp=drive_link
17,冷場召喚卡,怪癖,使用後所有人瞬間安靜，適合想要結束對話時使用。,Common,1口氣,可逃離尷尬,會被列入奇人榜。,https://drive.google.com/file/d/1-4nsd0p-Fu3Wh4a3PUVl_1sln2opTE8G/view?usp=drive_link
18,靈魂WiFi不穩,詛咒,與現實連線不良，常陷入發呆狀態。,Uncommon,3次嘆息,腦袋清空,失去專注力。,https://drive.google.com/file/d/1vzGhsVDb5Yxy1f8cqovkRkWQcAAoV67x/view?usp=drive_link
19,無限拖延卷軸,習慣,展開它就能讓所有Deadline延長48小時。,Epic,5份良心,多2天壓力緩衝,總會用光。,https://drive.google.com/file/d/1LWYIH6CZ9W7NIYIRf3KcENGozaE5LDdM/view?usp=drive_link
20,3分鐘熱度引擎,性格,燃燒速度極快的熱情動力裝置。,Common,2顆糖,初期爆發,冷卻太快。,https://drive.google.com/file/d/1vGmJgeB18V_x_zkkMzSCs5FXuygOLrlI/view?usp=drive_link
21,泡麵靈魂,特殊體質,任何人生階段都能在3分鐘內復活。,Legendary,5包泡麵,韌性超高,人生略顯廉價。,https://drive.google.com/file/d/12HC-KyUDtovOVz6Odz8by1Wn8Qtz9GXx/view?usp=drive_link
22,無限吐槽核心,能力,讓你自動生成最犀利的吐槽。,Rare,10段對話,社交幽默感爆表,可能被討厭。,https://drive.google.com/file/d/1cRzmXh7uiEOERHsnhuEuXZjEd_XlQNDu/view?usp=drive_link
23,宇宙級孤獨粒子,性格,當你1個人時，整個宇宙都會安靜下來陪你。,Epic,1段寂寞,心靈平靜,會太安靜。,https://drive.google.com/file/d/12XqyBHTXYrGQUpxt7frPw67fvRK5Akkx/view?usp=drive_link
24,快閃靈魂,能力,可隨意瞬移離開尷尬現場。,Legendary,1份存在感,快速脫逃,再也不想回來。,https://drive.google.com/file/d/1uU3IhDZ-QwK3se02uUZDpCwTmogLt1Lw/view?usp=drive_link
25,自我懷疑之鏡,詛咒,每照1次鏡子就開始懷疑人生方向。,Uncommon,3滴眼淚,增強內省,精神耗損。,https://drive.google.com/file/d/1FGsrdM9iuBLvuvoVpX4z8WyxKKrYR3Sb/view?usp=drive_link
26,超限創造核,能力,能把腦洞轉換成現實，但每用1次失去記憶5分鐘。,Mythic,5個夢,實現幻想,記不起怎麼做到的。,https://drive.google.com/file/d/1I6xS5mKGWAS7epzMaXyO0VmNYzlOvahD/view?usp=drive_link
27,神之懷舊濾鏡,能力,讓你回憶中所有人都變得更溫柔。,Rare,1段舊歌,心情治癒,現實對比太殘酷。,https://drive.google.com/file/d/1LRSSrBSe5idQuQepRkUmbe7i3UuS2vtc/view?usp=drive_link
28,情緒變色龍,性格,自動模仿他人情緒以融入環境。,Uncommon,1份自我認同,適應力強,容易迷失自己。,https://drive.google.com/file/d/1Ui4FV04Bp6F6M-zPBH2-hqqiW5sYT2ns/view?usp=drive_link
29,求生欲保護罩,能力,在危險對話中自動生成安全發言。,Rare,3句道歉,避免爭吵,會變太圓滑。,https://drive.google.com/file/d/1EwuzNKdjktqiAn8j7bSGRTTuQEt6LP3j/view?usp=drive_link
30,爆笑之泉,特殊體質,喝下後1整天會對1切事物狂笑。,Epic,10分鐘理智,氣氛製造機,笑到肚痛。,https://drive.google.com/file/d/1JZTJc08E2kZimusZhOtWlDfPaZ8uqt7l/view?usp=drive_link
31,悲劇主角光環,詛咒,任何事都能轉化成深沉劇情。,Legendary,1首悲歌,戲劇張力十足,人生永遠不順。,https://drive.google.com/file/d/1AKit5vrkAHHYXVhWbgMM9NYsqHBHyYjX/view?usp=drive_link
32,反社會模式開關,性格,啟動後自動屏蔽1切社交義務。,Uncommon,2杯黑咖啡,自由,失去朋友。,https://drive.google.com/file/d/1b6Mjk1xCKyqoNybpaN0ISnKKwqTE0caE/view?usp=drive_link
33,睡眠壓縮包,能力,能把8小時睡眠壓成20分鐘。,Epic,2天壽命,節省時間,長期使用變僵屍。,https://drive.google.com/file/d/1AGZqBQwUro-rYRgD_Ueb6WLI1YXBb-gb/view?usp=drive_link
34,平行宇宙分身券,能力,可體驗另1個版本的自己5分鐘。,Mythic,1個願望,體驗多重人生,再也回不來。,https://drive.google.com/file/d/10thczC8yp5j2ZEMSu8Yo6uJNGIBP2fx8/view?usp=drive_link
35,零卡情緒糖,喜好,能暫時甜化你的心情，不增加負擔。,Common,3句讚美,暫時開心,幸福後遺症。,https://drive.google.com/file/d/1fdDnzjIemGgVfFQgyEFBLE-GAkMOBPyx/view?usp=drive_link
36,哲學感冒,怪癖,會對所有小事產生哲學思考。,Uncommon,5本筆記,思想深邃,無法決定午餐要吃什麼。,https://drive.google.com/file/d/19r-iXDxA-KuLDzoGDtGC-SfEIGWizMfy/view?usp=drive_link
37,負能量收集罐,怪癖,吸收別人的抱怨並轉化成笑話素材。,Rare,10次翻白眼,搞笑天賦,精神污染。,https://drive.google.com/file/d/1J9BeR2CQosQEJvRENPVb2uxRD2WUQiSY/view?usp=drive_link
38,神的Bug碎片,特殊體質,偶爾可隨機觸發奇蹟，或崩潰。,Mythic,你的理智,不可預測,不可控制。,https://drive.google.com/file/d/1uMdjH1CfN3yw1D3WC4ixDwsvnJz5t3yc/view?usp=drive_link
