trigger_item_id,name,category,rarity,quote
1,加倍行動力濃縮液,能力,Rare,你的能力正被「加倍行動力濃縮液」點燃；記得，力量會索取等價的回音。 神說：節制它，才能長久。
2,社交能量膠囊,性格,Epic,「社交能量膠囊」將牽引你的選擇；向內看，路會自己顯影。 它會改寫你的一段篇章。
3,懶惰原礦,性格,Common,「懶惰原礦」將牽引你的選擇；向內看，路會自己顯影。
4,咖啡因血清,習慣,Rare,當「咖啡因血清」啟動，你會與時間交易，換來短暫的秩序。 神說：節制它，才能長久。
5,無限尷尬迴圈,詛咒,Uncommon,與「無限尷尬迴圈」締約者，必以故事換取平靜。 這股波紋輕輕拍岸。
6,中二靈魂碎片,特殊體質,Epic,你的存在本身就是「中二靈魂碎片」的證明。 它會改寫你的一段篇章。
7,吃不胖體質模組,能力,Legendary,你的能力正被「吃不胖體質模組」點燃；記得，力量會索取等價的回音。 凡此刻選擇者，命運將響起號角。
8,快樂限定貼紙,喜好,Common,去偏愛「快樂限定貼紙」吧；宇宙會記帳，但也會回禮。
9,宇宙WiFi,能力,Rare,你的能力正被「宇宙WiFi」點燃；記得，力量會索取等價的回音。 神說：節制它，才能長久。
10,打不死的堅毅之魂,性格,Legendary,「打不死的堅毅之魂」將牽引你的選擇；向內看，路會自己顯影。 凡此刻選擇者，命運將響起號角。
11,貓語理解晶片,能力,Rare,你的能力正被「貓語理解晶片」點燃；記得，力量會索取等價的回音。 神說：節制它，才能長久。
12,神秘壓力轉換器,能力,Epic,你的能力正被「神秘壓力轉換器」點燃；記得，力量會索取等價的回音。 它會改寫你的一段篇章。
13,時間暫停泡泡糖,能力,Mythic,你的能力正被「時間暫停泡泡糖」點燃；記得，力量會索取等價的回音。 群星為之偏轉，你也將付出等價的光。
14,社交電量充電包,習慣,Uncommon,當「社交電量充電包」啟動，你會與時間交易，換來短暫的秩序。 這股波紋輕輕拍岸。
15,天選遲到者之鐘,詛咒,Uncommon,與「天選遲到者之鐘」締約者，必以故事換取平靜。 這股波紋輕輕拍岸。
16,尷尬防護罩,能力,Rare,你的能力正被「尷尬防護罩」點燃；記得，力量會索取等價的回音。 神說：節制它，才能長久。
17,冷場召喚卡,怪癖,Common,帶著「冷場召喚卡」前行，宇宙會為你挪出一條奇怪的道路。
18,靈魂WiFi不穩,詛咒,Uncommon,與「靈魂WiFi不穩」締約者，必以故事換取平靜。 這股波紋輕輕拍岸。
19,無限拖延卷軸,習慣,Epic,當「無限拖延卷軸」啟動，你會與時間交易，換來短暫的秩序。 它會改寫你的一段篇章。
20,三分鐘熱度引擎,性格,Common,「三分鐘熱度引擎」將牽引你的選擇；向內看，路會自己顯影。
21,泡麵靈魂,特殊體質,Legendary,你的存在本身就是「泡麵靈魂」的證明。 凡此刻選擇者，命運將響起號角。
22,無限吐槽核心,能力,Rare,你的能力正被「無限吐槽核心」點燃；記得，力量會索取等價的回音。 神說：節制它，才能長久。
23,宇宙級孤獨粒子,性格,Epic,「宇宙級孤獨粒子」將牽引你的選擇；向內看，路會自己顯影。 它會改寫你的一段篇章。
24,快閃靈魂,能力,Legendary,你的能力正被「快閃靈魂」點燃；記得，力量會索取等價的回音。 凡此刻選擇者，命運將響起號角。
25,自我懷疑之鏡,詛咒,Uncommon,與「自我懷疑之鏡」締約者，必以故事換取平靜。 這股波紋輕輕拍岸。
26,超限創造核,能力,Mythic,你的能力正被「超限創造核」點燃；記得，力量會索取等價的回音。 群星為之偏轉，你也將付出等價的光。
27,神之懷舊濾鏡,能力,Rare,你的能力正被「神之懷舊濾鏡」點燃；記得，力量會索取等價的回音。 神說：節制它，才能長久。
28,情緒變色龍,性格,Uncommon,「情緒變色龍」將牽引你的選擇；向內看，路會自己顯影。 這股波紋輕輕拍岸。
29,求生欲保護罩,能力,Rare,你的能力正被「求生欲保護罩」點燃；記得，力量會索取等價的回音。 神說：節制它，才能長久。
30,爆笑之泉,特殊體質,Epic,你的存在本身就是「爆笑之泉」的證明。 它會改寫你的一段篇章。
31,悲劇主角光環,詛咒,Legendary,與「悲劇主角光環」締約者，必以故事換取平靜。 凡此刻選擇者，命運將響起號角。
32,反社會模式開關,性格,Uncommon,「反社會模式開關」將牽引你的選擇；向內看，路會自己顯影。 這股波紋輕輕拍岸。
33,睡眠壓縮包,能力,Epic,你的能力正被「睡眠壓縮包」點燃；記得，力量會索取等價的回音。 它會改寫你的一段篇章。
34,平行宇宙分身券,能力,Mythic,你的能力正被「平行宇宙分身券」點燃；記得，力量會索取等價的回音。 群星為之偏轉，你也將付出等價的光。
35,零卡情緒糖,喜好,Common,去偏愛「零卡情緒糖」吧；宇宙會記帳，但也會回禮。
36,哲學感冒,怪癖,Uncommon,帶著「哲學感冒」前行，宇宙會為你挪出一條奇怪的道路。 這股波紋輕輕拍岸。
37,負能量收集罐,怪癖,Rare,帶著「負能量收集罐」前行，宇宙會為你挪出一條奇怪的道路。 神說：節制它，才能長久。
38,神的Bug碎片,特殊體質,Mythic,你的存在本身就是「神的Bug碎片」的證明。 群星為之偏轉，你也將付出等價的光。
