trigger_item_id,name,category,rarity,title
1,加倍行動力濃縮液,能力,Rare,無限輪迴的加倍行動力濃縮液PRO MAX
2,社交能量膠囊,性格,Epic,無限輪迴的社交能量膠囊.exe
3,懶惰原礦,性格,Common,反覆橫跳的懶惰原礦.exe
4,咖啡因血清,習慣,Rare,次元破口的咖啡因血清・無法卸載
5,無限尷尬迴圈,詛咒,Uncommon,第404號的無限尷尬迴圈・無法卸載
6,中二靈魂碎片,特殊體質,Epic,BUG等級的中二靈魂碎片之詩
7,吃不胖體質模組,能力,Legendary,手搓神力的吃不胖體質模組∞
8,快樂限定貼紙,喜好,Common,手搓神力的快樂限定貼紙之詩
9,宇宙WiFi,能力,Rare,跨維度的宇宙WiFi.exe
10,打不死的堅毅之魂,性格,Legendary,量子共振的打不死的堅毅之魂—重啟中—
11,貓語理解晶片,能力,Rare,宇宙端點的貓語理解晶片β版
12,神秘壓力轉換器,能力,Epic,宇宙端點的神秘壓力轉換器∞
13,時間暫停泡泡糖,能力,Mythic,反覆橫跳的時間暫停泡泡糖.exe
14,社交電量充電包,習慣,Uncommon,量子共振的社交電量充電包・無法卸載
15,天選遲到者之鐘,詛咒,Uncommon,反覆橫跳的天選遲到者之鐘∞
16,尷尬防護罩,能力,Rare,宇宙端點的尷尬防護罩の殘響
17,冷場召喚卡,怪癖,Common,第404號的冷場召喚卡Reloaded
18,靈魂WiFi不穩,詛咒,Uncommon,未定義的靈魂WiFi不穩之詩
19,無限拖延卷軸,習慣,Epic,時間錯亂的無限拖延卷軸∞
20,三分鐘熱度引擎,性格,Common,第404號的三分鐘熱度引擎v2.0
21,泡麵靈魂,特殊體質,Legendary,第404號的泡麵靈魂の殘響
22,無限吐槽核心,能力,Rare,手搓神力的無限吐槽核心PRO MAX
23,宇宙級孤獨粒子,性格,Epic,次元破口的宇宙級孤獨粒子∞
24,快閃靈魂,能力,Legendary,第404號的快閃靈魂（未保存）
25,自我懷疑之鏡,詛咒,Uncommon,靈壓爆裂的自我懷疑之鏡の殘響
26,超限創造核,能力,Mythic,量子共振的超限創造核Reloaded
27,神之懷舊濾鏡,能力,Rare,時間錯亂的神之懷舊濾鏡∞
28,情緒變色龍,性格,Uncommon,跨維度的情緒變色龍PRO MAX
29,求生欲保護罩,能力,Rare,次元破口的求生欲保護罩PRO MAX
30,爆笑之泉,特殊體質,Epic,BUG等級的爆笑之泉（試營運）
31,悲劇主角光環,詛咒,Legendary,反覆橫跳的悲劇主角光環Reloaded
32,反社會模式開關,性格,Uncommon,手搓神力的反社會模式開關（試營運）
33,睡眠壓縮包,能力,Epic,BUG等級的睡眠壓縮包.exe
34,平行宇宙分身券,能力,Mythic,次元破口的平行宇宙分身券・無法卸載
35,零卡情緒糖,喜好,Common,BUG等級的零卡情緒糖Reloaded
36,哲學感冒,怪癖,Uncommon,反覆橫跳的哲學感冒PRO MAX
37,負能量收集罐,怪癖,Rare,BUG等級的負能量收集罐（未保存）
38,神的Bug碎片,特殊體質,Mythic,次元破口的神的Bug碎片（試營運）
